Zone,State,Distributor,Dealer,MT,SF_Id
North,Rajasthan,M R ASSOCIATES,GIRIRAJ STEELS,5,0015g00001fx5hlAAA
North,Rajasthan,M R ASSOCIATES,HINGLAJ IRON STORE,25,001J100000BadzzIAB
North,Rajasthan,M R ASSOCIATES,JAI ASHAPURA LOHA UDHYOG,2,0015g00001fuwB1AAI
North,Rajasthan,M R ASSOCIATES,JAI OM STEELS,25,001J1000002jaoZIAQ
North,Rajasthan,M R ASSOCIATES,JMB & CO.,25,001J1000002keZHIAY
North,Rajasthan,M R ASSOCIATES,JMB & CO.,25,001J100000TuLNmIAN
North,Rajasthan,M R ASSOCIATES,KABRA IRON AGENCIES,13,0015g00001f8tNYAAY
North,Rajasthan,M R ASSOCIATES,M/S LAXMI STEEL YARD,1,0015g00001f8vrGAAQ
North,Rajasthan,M R ASSOCIATES,PUKHRAJ RAM NARAYAN & CO.,20,001J1000002jQNfIAM
North,Rajasthan,M R ASSOCIATES,RAJASTHAN STEELS,11,0015g00001fx4jlAAA
North,Rajasthan,M R ASSOCIATES,RAJASTHAN STEELS,22,001J100000S0iyoIAB
North,Rajasthan,M R ASSOCIATES,ROOP STEEL TRADING COMPANY,29,0015g00001f8ua5AAA
North,Rajasthan,M R ASSOCIATES,ROYAL STEEL,25,001J100000RxssnIAB
North,Rajasthan,M R ASSOCIATES,SHAKTI STEELS,70,0015g00001f9BXpAAM
North,Rajasthan,SWASTIK TRADEVISION PRIVATE LIMITED,AASTHA TRADER,10,001fw00000IQJkcAAH
North,Rajasthan,SWASTIK TRADEVISION PRIVATE LIMITED,ANANT STEELS,4,001fw00000G3tYEAAZ
North,Rajasthan,SWASTIK TRADEVISION PRIVATE LIMITED,BHAGIRATH MOOLA RAM GHANCHI,8,001fw00000SPoSzAAL
North,Rajasthan,SWASTIK TRADEVISION PRIVATE LIMITED,GOYAL TRADERS,7,0015g00001UBHhrAAH
North,Rajasthan,SWASTIK TRADEVISION PRIVATE LIMITED,H.K. ALLOYS,22,0015g00001X3AskAAF
North,Rajasthan,SWASTIK TRADEVISION PRIVATE LIMITED,HARJAMNA STEELS,72,001fw00000IB5zhAAD
North,Rajasthan,SWASTIK TRADEVISION PRIVATE LIMITED,J.K. SALES,3,001fw00000SPKwLAAX
North,Rajasthan,SWASTIK TRADEVISION PRIVATE LIMITED,POOJA IRON STORE,161,0015g00001f8DijAAE
North,Rajasthan,SWASTIK TRADEVISION PRIVATE LIMITED,RAJ STEELS,40,0015g00001c4QhrAAE
North,Rajasthan,SWASTIK TRADEVISION PRIVATE LIMITED,SHREE MADHAV STEELS,20,0015g00001TAZTVAA5
North,Rajasthan,SWASTIK TRADEVISION PRIVATE LIMITED,SINGHAL IRON STORE,36,001fw00000RChbAAAT
North,Rajasthan,SWASTIK TRADEVISION PRIVATE LIMITED,TIRUPATI STEELS,1,001fw00000AKLfMAAX
North,Rajasthan,SWASTIK TRADEVISION PRIVATE LIMITED,Vijayshree Steel,3,0015g00001UBHivAAH
North,Uttar Pradesh,DINESH STEEL PRIVATE LIMITED,JAI DURGA IRON & STEEL COMPANY,18,0015g00001W4TWFAA3
North,Uttar Pradesh,DINESH STEEL PRIVATE LIMITED,M/S AAR DEE DISTRIBUTORS,16,0015g00001YOMCMAA5
North,Uttar Pradesh,DINESH STEEL PRIVATE LIMITED,M/S MEENA STEELS,32,0015g00001Y3x1EAAR
North,Uttar Pradesh,DINESH STEEL PRIVATE LIMITED,M/S SAI GOYAL TRADING COMPANY,15,0015g00001f8YwyAAE
North,Uttar Pradesh,DINESH STEEL PRIVATE LIMITED,M/S SINGHAL ENTERPRISES,15,001J100000Vm7LjIAJ
North,Uttar Pradesh,DINESH STEEL PRIVATE LIMITED,NEETIKA BUILDING SOLUTIONS,16,001fw00000NAiTyAAL
North,Uttar Pradesh,GOBINDGARH IRON LLP,GARG AND ASSOCIATES,50,0015g00001V9ffqAAB
North,Uttar Pradesh,GOBINDGARH IRON LLP,Govind Steels,29,0015g00001V9TjDAAV
North,Uttar Pradesh,GOBINDGARH IRON LLP,KASHAUDHAN TRADERS,3,001fw000003wRpTAAU
North,Uttar Pradesh,GOBINDGARH IRON LLP,M K ENTERPRISES,1,0015g00001V9TjtAAF
North,Uttar Pradesh,GOBINDGARH IRON LLP,M/S  MALL TRADERS,7,001fw00000E28e9AAB
North,Uttar Pradesh,GOBINDGARH IRON LLP,M/S JAISWAL STEEL CORPORATION,2,001J100000Vnm0iIAB
North,Uttar Pradesh,GOBINDGARH IRON LLP,M/S JAISWAL TRADERS,9,001J100000VnyubIAB
North,Uttar Pradesh,GOBINDGARH IRON LLP,M/S OM TRADING COMPANY,15,001fw000004aB4HAAU
North,Uttar Pradesh,GOBINDGARH IRON LLP,M/S SAMIKSHA AND SIDDHI ENTERPRISES,4,001J100000TsJTNIA3
North,Uttar Pradesh,GOBINDGARH IRON LLP,M/S SHIR AMBEY TRADERS,9,001J100000BdFHtIAN
North,Uttar Pradesh,GOBINDGARH IRON LLP,MAA DURGA TRADERS,6,001fw00000EO7RkAAL
North,Uttar Pradesh,GOBINDGARH IRON LLP,MAHAVEER TRADERS,7,001fw000001q0xpAAA
North,Uttar Pradesh,GOBINDGARH IRON LLP,R.Y.TRADERS,6,001fw00000P59kHAAR
North,Uttar Pradesh,GOBINDGARH IRON LLP,RRY TRADERS,5,0015g00001X2bq9AAB
North,Uttar Pradesh,GOBINDGARH IRON LLP,RS BUILDING MATERIALS,7,001fw00000EOsdYAAT
North,Uttar Pradesh,GOBINDGARH IRON LLP,SHRI SHYAM STEEL COMPANY,2,001fw0000023v0cAAA
North,Uttar Pradesh,GOBINDGARH IRON LLP,SHUKLAJI TRADERS,5,001J100000S0cYnIAJ
North,Uttar Pradesh,Khandelwal Associates,Arvìnd steel and cement,3,0015g00001cdSIzAAM
North,Uttar Pradesh,Khandelwal Associates,GURU JI TRADERS,10,001J1000003nQvNIAU
North,Uttar Pradesh,Khandelwal Associates,KHANDELWAL METAL INDUSTRIES INDIA PVT. LTD.,100,001J100000Vo9dAIAR
North,Uttar Pradesh,Khandelwal Associates,M/S  GULZARI LAL KANTHI RAM AND SONS,8,001J1000007nQ7CIAU
North,Uttar Pradesh,Khandelwal Associates,M/S  K S ENTERPRISES,2,001J1000006UZwEIAW
North,Uttar Pradesh,Khandelwal Associates,M/S  KAVYA TRADERS,109,001fw00000L1b35AAB
North,Uttar Pradesh,Khandelwal Associates,M/S ANIL BUILDING STORE,12,0015g00001cbH7AAAU
North,Uttar Pradesh,Khandelwal Associates,M/S GAURI MAL RAGHUNANDAN PRASAD AND SONS,4,0015g00001cdSFvAAM
North,Uttar Pradesh,Khandelwal Associates,M/S INDIA TRADERS,6,001fw000007w1CiAAI
North,Uttar Pradesh,Khandelwal Associates,M/S KHANDELWAL BATH DECOR,10,0015g00001cdDsDAAU
North,Uttar Pradesh,Khandelwal Associates,M/S NAVEEN TRADERS,83,0015g00001XK1qJAAT
North,Uttar Pradesh,Khandelwal Associates,M/S NIRMAL LOHA UDHYOG,10,0015g00001XcFeLAAV
North,Uttar Pradesh,Khandelwal Associates,M/S SRI BANKEY BIHARI IRON TRADERS,10,001J1000003m6KsIAI
North,Uttar Pradesh,Khandelwal Associates,RAJEEV TRADERS,30,001fw00000FJfjbAAD
North,Uttar Pradesh,Khandelwal Associates,SATYA NARAIN HARI KRISHAN & CO.,12,001fw00000KBuWQAA1
North,Uttar Pradesh,Khandelwal Associates,SHAILSHREE METALS,15,0015g00001YOPTWAA5
North,Uttar Pradesh,Khandelwal Associates,SHREE GANESH BUILDING MATERIAL,2,001J1000005aNhEIAU
North,Uttar Pradesh,Khandelwal Associates,SK IRON STORE,2,001J1000007ohLtIAI
North,Uttar Pradesh,OPTRIX INFRA LLP,D R STEELS & ENTERPRISES,40,001fw00000Mlvz5AAB
North,Uttar Pradesh,OPTRIX INFRA LLP,FLATWORLD INFRAMART,84,001fw00000OB0a2AAD
North,Uttar Pradesh,OPTRIX INFRA LLP,GABA TRADING COMPANY,2,0015g00001efxcmAAA
North,Uttar Pradesh,OPTRIX INFRA LLP,KRISHNA INDUSTRIES,180,001fw000001QzQhAAK
North,Uttar Pradesh,OPTRIX INFRA LLP,M/S  JAI HANUMAN STEELS AND BUILDCON,85,001fw000006wnmWAAQ
North,Uttar Pradesh,OPTRIX INFRA LLP,M/S KHANDELWAL STEEL CENTRE,2,0015g00001NKKa6AAH
North,Uttar Pradesh,OPTRIX INFRA LLP,M/S KRISHNA STEELS,260,0015g00001TEQEcAAP
North,Uttar Pradesh,OPTRIX INFRA LLP,M/S KUMAR IRON STORE,15,0015g00001ejfxnAAA
North,Uttar Pradesh,OPTRIX INFRA LLP,M/S POOJA HARDWARE & STEEL CORPORATION,2,0015g00001ejyN0AAI
North,Uttar Pradesh,OPTRIX INFRA LLP,MISHRA BUILDING SOLUTIONS,58,001J100000TuCVlIAN
North,Uttar Pradesh,OPTRIX INFRA LLP,NARENDRA STEELS,162,0015g00001TDCVRAA5
North,Uttar Pradesh,OPTRIX INFRA LLP,PRATHAM STEELS,204,001J100000VlGMhIAN
North,Uttar Pradesh,OPTRIX INFRA LLP,PROFICIENT INDIA & CO.,2,001J100000VnUYOIA3
North,Uttar Pradesh,OPTRIX INFRA LLP,S K ISPAT,2,001J100000TrRgTIAV
North,Uttar Pradesh,OPTRIX INFRA LLP,S.S ENTERPRISES,14,0015g00001dHcNGAA0
North,Uttar Pradesh,OPTRIX INFRA LLP,SHREE BALAJI ENTERPRISES,2,001J100000DqPBgIAN
North,Uttar Pradesh,OPTRIX INFRA LLP,SHREE MAHAKAL STEELS,2,001J100000TrRbsIAF
North,Uttar Pradesh,OPTRIX INFRA LLP,SHRI GEETA ENTERPRISES,2,001fw00000LNorIAAT
North,Uttar Pradesh,OPTRIX INFRA LLP,SURYA STEELS,173,0015g00001FhMmfAAF
North,Uttar Pradesh,SHASHI STEELS LLP,KVA Trading Company,20,0015g00001UBHbSAAX
North,Uttar Pradesh,SHASHI STEELS LLP,M/S BANSAL STEEL SHOP,15,0015g00001V9SP8AAN
North,Uttar Pradesh,SHASHI STEELS LLP,M/S PURVANCHAL TRADERS,12,0015g00001V9SR4AAN
North,Uttar Pradesh,SHASHI STEELS LLP,M/S SHASHI TRADING COMPANY,492,0015g00001c44kkAAA
North,Uttar Pradesh,SHASHI STEELS LLP,M/S SHIV IRON STORE,30,0015g00001W31YrAAJ
North,Uttar Pradesh,SHASHI STEELS LLP,M/S TANEJA IRON SYNDICATE,30,0015g00001V9SNmAAN
North,Uttar Pradesh,SHASHI STEELS LLP,SOM STEELS PRIVATE LIMITED,13,001J1000002kROCIA2
North,Uttar Pradesh,SHASHI STEELS LLP,Shashi Steels Corporation,10,0015g00001UBHgoAAH
North,Uttar Pradesh,SHASHI STEELS LLP,TRIVENI STEELS,27,0015g00001X375AAAR
North,Uttar Pradesh,SHREE LAKSHMAN ROLLING MILL (INDIA) LLP,M/S  NISHA STEELS,1,0015g00001UBHkTAAX
North,Uttar Pradesh,SHREE LAKSHMAN ROLLING MILL (INDIA) LLP,M/S GAJANAN TRADERS,3,001fw000008MTIBAA4
North,Uttar Pradesh,SHREE LAKSHMAN ROLLING MILL (INDIA) LLP,M/S SAMARPAN STEELS & CO.,2,001J100000VnZq0IAF
North,Uttar Pradesh,SHREE LAKSHMAN ROLLING MILL (INDIA) LLP,M/S SHIVA STEELS,12,0015g00001dIETaAAO
North,Uttar Pradesh,SHREE LAKSHMAN ROLLING MILL (INDIA) LLP,M/S SHRI NIRMAL KUMAR JAIN & CO.,467,0015g00001UBHkRAAX
North,Uttar Pradesh,SHREE LAKSHMAN ROLLING MILL (INDIA) LLP,M/S SHYAMA STEELS,10,0015g00001XawIOAAZ
North,Uttar Pradesh,SHREE LAKSHMAN ROLLING MILL (INDIA) LLP,M/S TARA CHAND STEELS,25,0015g00001eAXqQAAW
North,Uttar Pradesh,SHREE LAKSHMAN ROLLING MILL (INDIA) LLP,M/S VIJAY BROTHERS,3,001J100000F4lrYIAR
North,Uttar Pradesh,SHREE LAKSHMAN ROLLING MILL (INDIA) LLP,RP TRADERS,4,0015g00001UBHkUAAX
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,AGARWAL STEEL,8,0015g00001UBHmFAAX
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,ANSHIKA TRADER,2,0015g00001fubBOAAY
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,DOON AND COMPANY,33,0015g00001dXphrAAC
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,M. S ENTERPRISES,63,001J100000Jrjd3IAB
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,M/S AGARWAL STEEL,1,0015g00001dJptUAAS
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,M/S AGARWAL STEEL AND CEMENT CENTER,16,001J100000JsXthIAF
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,M/S ARYAN TRADERS,9,001J100000VnUHOIA3
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,M/S B.K.G. TRADERS,6,0015g00001W4e1iAAB
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,M/S BHAGWATI IRON STORE,15,0015g00001W2w7FAAR
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,M/S GARG STEEL CENTER,12,001J1000009GVhuIAG
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,M/S RUDRA CONSTRUCTIONS,8,0015g00001dJBSZAA4
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,M/S SHRI DURGA TRADING COMPANY,42,001J100000TrMywIAF
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,M/S TARUN TRADERS,24,0015g00001UBHltAAH
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,MA SHEETLA TRADERS,9,0015g00001YNundAAD
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,PURAN CHAND AND SONS,0,001fw000005araqAAA
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,SHIVAAY ASSOCIATES,4,0015g00001UBHn2AAH
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,SHUBHAM ENTERPRISES,2,0015g00001UBHlrAAH
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,SIDDHI VINAYAK TRADERS,16,001fw00000NNBgiAAH
North,Uttarakhand,SHIVA SALES INDIA CORPORATION,VINAYAK TRADERS,6,001J100000VnBH9IAN
